z,electricalConductivity,thermalConductivity,specificHeat,electricalType,crustAbundance,oceanAbundance,ionizationEnergies,isotopes,isotopeAbundance,universeAbundance,humanAbundance
1,0,0.1805,14.304,N/A,0.14,108000,1312,1;2,0.99986;0.00014,75,0.1
2,0,0.1513,5.193,N/A,8e-07,,2372.3;5250.5,3;4,2e-06;0.999998,23,
3,10800000,85,3.582,Conductor,0.0017,,520.2;7298.1;11815,6;7,0.04;0.96,6e-07,3e-06
4,25000000,190,1.825,Conductor,0.00028,,899.5;1757.1;14848.7;21006.6,9,1,1e-07,4e-08
5,1e-06,27,1.026,Isolator,0.00086,4.5,800.6;2427.1;3659.7;25025.8;32826.7,10;11,0.1965;0.8035,1e-07,7e-05
6,10000,140,0.709,Conductor,0.18,28,1086.5;2352.6;4620.5;6222.7;37831;47277.0,12;13,0.9894;0.0106,0.5,23
7,0,0.02583,1.04,N/A,0.002,0.5,1402.3;2856;4578.1;7475;9444.9;53266.6;64360,14;15,0.996205;0.003795,0.1,2.6
8,1e-11,0.02658,0.918,N/A,46.1,857000,1313.9;3388.3;5300.5;7469.2;10989.5;13326.5;71330;84078.0,16;17;18,0.99757;0.0003835;0.002045,1,61
9,0,0.0277,0.824,N/A,0.054,1.3,1681;3374.2;6050.4;8407.7;11022.7;15164.1;17868;92038.1,19,1,4e-05,0.0037
10,0,0.0491,1.03,N/A,5e-07,,2080.7;3952.3;6122;9371;12177;15238.9;19999.0;23069.5,20;21;22,0.9048;0.0027;0.0925,0.13,
11,21000000,140,1.228,Conductor,2.3,10770,495.8;4562;6910.3;9543;13354;16613;20117;25496,23,1,0.002,0.14
12,23000000,160,1.023,Conductor,2.3,1290,737.7;1450.7;7732.7;10542.5;13630;18020;21711;25661,24;25;26,0.78965;0.10011;0.11025,0.059,0.027
13,35000000,235,0.897,Conductor,8.2,,577.5;1816.7;2744.8;11577;14842;18379;23326;27465,27,1,0.005,9e-05
14,0.00156,150,0.705,Semiconductor,28,0.1,786.5;1577.1;3231.6;4355.5;16091;19805;23780;29287,28;29;30,0.922545;0.04672;0.030735,0.07,0.026
15,1e-14,0.236,0.769,Conductor,0.1,,1011.8;1907;2914.1;4963.6;6273.9;21267;25431;29872,31,1,0.0007,1.1
16,5e-14,0.205,0.71,Isolator,0.042,905,999.6;2252;3357;4556;7004.3;8495.8;27107;31719,32;33;34;36,0.9485;0.00763;0.04365;0.000158,0.05,0.2
17,0,0.0089,0.479,Isolator,0.017,19300,1251.2;2298;3822;5158.6;6542;9362;11018;33604,35;37,0.758;0.242,0.0001,0.12
18,0,0.01772,0.52,N/A,0.00015,,1520.6;2665.8;3931;5771;7238;8781;11995;13842,36;38;40,0.01035;0.0215;0.96815,0.02,
19,14000000,100,0.757,Conductor,2.1,399,418.8;3052;4420;5877;7975;9590;11343;14944,39;41,0.932581;0.067302,0.0003,0.2
20,29000000,200,0.647,Conductor,4.1,412,589.8;1145.4;4912.4;6491;8153;10496;12270;14206,40;42;43;44;46;48,0.96941;0.00647;0.00135;0.02086;4e-05;0.00187,0.007,1.4
21,1800000,16,0.568,Conductor,0.0022,,633.1;1235;2388.6;7090.6;8843;10679;13310;15250,45,1,3e-06,
22,2400000,22,0.523,Conductor,0.56,,658.8;1309.8;2652.5;4174.6;9581;11533;13590;16440,46;47;48;49;50,0.0825;0.0744;0.7372;0.0541;0.0518,0.0003,
23,3900000,31,0.489,Conductor,0.019,,650.9;1414;2830;4507;6298.7;12363;14530;16730,51,0.9975,0.0001,3e-06
24,7900000,94,0.449,Conductor,0.014,,652.9;1590.6;2987;4743;6702;8744.9;15455;17820,50;52;53;54,0.04345;0.83789;0.09501;0.02365,0.0015,3e-06
