z,sym,name,latin,mass,cat,melt,boil,config,density,en,ie,sources,e0,tox,year,oxidation,halflife,discoverySource,discoveryCountry
1,H,Hydrogen,Hydrogenium,1.008,nonmetal,13.99,20.271,1s¹,8.99e-05,2.2,1312,"Universe, water",0,Low,1766,1,0,Henry Cavendish,United Kingdom
2,He,Helium,Helium,4.0026,noble,0.95,4.22,1s²,0.0001785,,2372,Natural gas,0,Very low,1895,0,0,Pierre Janssen,Sweden and United Kingdom
3,Li,Lithium,Lithium,6.94,alkali,453.65,1603,[He] 2s¹,0.534,0.98,520,"Australia, Chile, China",-3.04,Moderate,1817,1,0,Johan August Arfwedson,Sweden
4,Be,Beryllium,Beryllium,9.0122,alkaline,1560,2742,[He] 2s²,1.85,1.57,899,"USA, China",-1.85,Very high / Toxic,1798,2,0,Louis Nicolas Vauquelin,France
5,B,Boron,Borum,10.81,metalloid,2349,4200,[He] 2s² 2p¹,2.34,2.04,801,"Turkey, USA",0,Moderate,1808,3,0,Gay-Lussac & Thénard,France and United Kingdom
6,C,Carbon,Carbonium,12.011,nonmetal,3823,4098,[He] 2s² 2p²,2.267,2.55,1086,Worldwide,0,Low,,4,0,,
7,N,Nitrogen,Nitrogenium,14.007,nonmetal,63.15,77.36,[He] 2s² 2p³,0.001251,3.04,1402,Air,0,Low,1772,-3,0,Daniel Rutherford,United Kingdom
8,O,Oxygen,Oxygenium,15.999,nonmetal,54.36,90.2,[He] 2s² 2p⁴,0.001429,3.44,1314,"Air, oxides",1.23,Low,1774,-2,0,Carl Wilhelm Scheele,Sweden and United Kingdom
9,F,Fluorine,Fluorum,18.998,halogen,53.53,85.03,[He] 2s² 2p⁵,0.001696,3.98,1681,"China, Mexico",2.87,Very high / Toxic,1886,-1,0,Henri Moissan,France
10,Ne,Neon,Neon,20.18,noble,24.56,27.07,[He] 2s² 2p⁶,0.0009,,2081,Air,0,Very low,1898,0,0,Ramsay & Travers,United Kingdom
11,Na,Sodium,Natrium,22.99,alkali,370.87,1156,[Ne] 3s¹,0.971,0.93,496,Salt worldwide,-2.71,Moderate,1807,1,0,Humphry Davy,United Kingdom
12,Mg,Magnesium,Magnesium,24.305,alkaline,923,1363,[Ne] 3s²,1.738,1.31,738,"China, seawater",-2.37,Low,1755,2,0,Humphry Davy,United Kingdom
13,Al,Aluminium,Aluminium,26.982,post-transition,933.47,2792,[Ne] 3s² 3p¹,2.7,1.61,577,"Australia, China, Guinea",-1.66,Low,1825,3,0,Hans Christian Ørsted,Denmark
14,Si,Silicon,Silicium,28.085,metalloid,1687,3538,[Ne] 3s² 3p²,2.329,1.9,786,Quartz worldwide,0,Low,1824,4,0,Jöns Jacob Berzelius,Sweden
15,P,Phosphorus,Phosphorus,30.974,nonmetal,317.3,550,[Ne] 3s² 3p³,1.82,2.19,1012,"China, Morocco",0,High,1669,-3,0,Hennig Brand,Germany
16,S,Sulfur,Sulphur,32.06,nonmetal,388.36,717.8,[Ne] 3s² 3p⁴,2.067,2.58,1000,"China, USA, Canada",0,Moderate,,-2,0,Antoine Lavoisier,
17,Cl,Chlorine,Chlorum,35.45,halogen,171.6,239.11,[Ne] 3s² 3p⁵,0.003214,3.16,1251,"Seawater, salt",1.36,Very high / Toxic,1774,-1,0,Carl Wilhelm Scheele,Sweden
18,Ar,Argon,Argon,39.948,noble,83.81,87.3,[Ne] 3s² 3p⁶,0.001784,,1520,Air,0,Very low,1894,0,0,Rayleigh & Ramsay,United Kingdom
19,K,Potassium,Kalium,39.098,alkali,336.53,1032,[Ar] 4s¹,0.862,0.82,419,"Canada, Russia, Belarus",-2.93,Moderate,1807,1,0,Humphry Davy,United Kingdom
20,Ca,Calcium,Calcium,40.078,alkaline,1115,1757,[Ar] 4s²,1.54,1,590,Limestone worldwide,-2.87,Low,1808,2,0,Humphry Davy,United Kingdom
21,Sc,Scandium,Scandium,44.956,transition,1814,3109,[Ar] 3d¹ 4s²,2.985,1.36,633,"China, Russia",-2.08,Moderate,1879,3,0,Lars Fredrik Nilson,Sweden
22,Ti,Titanium,Titanium,47.867,transition,1941,3560,[Ar] 3d² 4s²,4.506,1.54,658,"Australia, South Africa, China",-1.63,Low,1791,4,0,William Gregor,United Kingdom
23,V,Vanadium,Vanadium,50.942,transition,2183,3680,[Ar] 3d³ 4s²,6.11,1.63,650,"China, Russia, South Africa",-1.18,Moderate,1801,5,0,Andrés Manuel del Río,Mexico and Sweden
24,Cr,Chromium,Chromium,51.996,transition,2180,2944,[Ar] 3d⁵ 4s¹,7.15,1.66,653,"South Africa, Kazakhstan",-0.74,Moderate,1797,3,0,Louis Nicolas Vauquelin,France
25,Mn,Manganese,Manganum,54.938,transition,1519,2334,[Ar] 3d⁵ 4s²,7.47,1.55,717,"South Africa, Australia, Gabon",-1.18,Moderate,1774,2,0,Johan Gottlieb Gahn,Sweden
26,Fe,Iron,Ferrum,55.845,transition,1811,3134,[Ar] 3d⁶ 4s²,7.874,1.83,762,"Australia, Brazil, China",-0.44,Low,,3,0,,
27,Co,Cobalt,Cobaltum,58.933,transition,1768,3200,[Ar] 3d⁷ 4s²,8.9,1.88,760,"DR Congo, Russia, Australia",-0.28,Moderate,1735,2,0,Georg Brandt,Sweden
28,Ni,Nickel,Niccolum,58.693,transition,1728,3186,[Ar] 3d⁸ 4s²,8.912,1.91,737,"Indonesia, Philippines, Russia",-0.25,Moderate,1751,2,0,Axel Fredrik Cronstedt,Sweden
29,Cu,Copper,Cuprum,63.546,transition,1357.77,2835,[Ar] 3d¹⁰ 4s¹,8.96,1.9,745,"Chile, Peru, China",0.34,Moderate,,2,0,,
30,Zn,Zinc,Zincum,65.38,transition,692.68,1180,[Ar] 3d¹⁰ 4s²,7.134,1.65,906,"China, Australia, Peru",-0.76,Moderate,1746,2,0,Andreas Marggraf,Germany
31,Ga,Gallium,Gallium,69.723,post-transition,302.91,2673,[Ar] 3d¹⁰ 4s² 4p¹,5.91,1.81,579,"China, Germany, Kazakhstan",-0.53,Moderate,1875,3,0,Paul-Émile Lecoq de Boisbaudran,France
32,Ge,Germanium,Germanium,72.63,metalloid,1211.4,3106,[Ar] 3d¹⁰ 4s² 4p²,5.323,2.01,762,"China, Russia",0,Moderate,1886,4,0,Clemens Winkler,Germany
33,As,Arsenic,Arsenicum,74.922,metalloid,1090,887,[Ar] 3d¹⁰ 4s² 4p³,5.727,2.18,947,"China, Morocco",0,Very high / Toxic,1250,-3,0,Albertus Magnus,
34,Se,Selenium,Selenium,78.971,nonmetal,494,958,[Ar] 3d¹⁰ 4s² 4p⁴,4.81,2.55,941,"China, Japan, Belgium",0,High,1817,-2,0,Jöns Jacob Berzelius,Sweden
35,Br,Bromine,Bromum,79.904,halogen,265.8,332,[Ar] 3d¹⁰ 4s² 4p⁵,3.122,2.96,1140,"USA, Israel, China",1.07,Very high / Toxic,1826,-1,0,Antoine Balard,France
36,Kr,Krypton,Krypton,83.798,noble,115.79,119.93,[Ar] 3d¹⁰ 4s² 4p⁶,0.003733,3,1351,Air,0,Very low,1898,0,0,Ramsay & Travers,United Kingdom
37,Rb,Rubidium,Rubidium,85.468,alkali,312.46,961,[Kr] 5s¹,1.532,0.82,403,"Canada, Zimbabwe",-2.98,Moderate,1861,1,0,Bunsen & Kirchhoff,Germany
38,Sr,Strontium,Strontium,87.62,alkaline,1050,1655,[Kr] 5s²,2.64,0.95,549,"China, Spain, Mexico",-2.89,Moderate,1790,2,0,Adair Crawford,United Kingdom
39,Y,Yttrium,Yttrium,88.906,transition,1799,3609,[Kr] 4d¹ 5s²,4.47,1.22,600,"China, Australia",-2.37,Moderate,1794,3,0,Johan Gadolin,Finland
40,Zr,Zirconium,Zirconium,91.224,transition,2128,4682,[Kr] 4d² 5s²,6.52,1.33,640,"Australia, South Africa",-1.45,Low,1789,4,0,Martin Heinrich Klaproth,Germany
41,Nb,Niobium,Niobium,92.906,transition,2750,5017,[Kr] 4d⁴ 5s¹,8.57,1.6,652,"Brazil, Canada",-1.1,Low,1801,5,0,Charles Hatchett,United Kingdom
